type, Node,Node Interface,Leaf IP Address,Peer Node,Peer Interface,Peer IP Address
l3leaf,dc1-leaf1,Ethernet3,172.31.0.1/31,spine,dc1-spine1,Ethernet2,172.31.0.0/31
l3leaf,dc1-leaf1,Ethernet4,172.31.0.3/31,spine,dc1-spine2,Ethernet2,172.31.0.2/31
l3leaf,dc1-leaf1,Ethernet5,172.31.0.5/31,spine,dc1-spine3,Ethernet2,172.31.0.4/31
l3leaf,dc1-leaf2,Ethernet3,172.31.0.7/31,spine,dc1-spine1,Ethernet3,172.31.0.6/31
l3leaf,dc1-leaf2,Ethernet4,172.31.0.9/31,spine,dc1-spine2,Ethernet3,172.31.0.8/31
l3leaf,dc1-leaf2,Ethernet5,172.31.0.11/31,spine,dc1-spine3,Ethernet3,172.31.0.10/31
l3leaf,dc1-leaf3,Ethernet3,172.31.0.13/31,spine,dc1-spine1,Ethernet4,172.31.0.12/31
l3leaf,dc1-leaf3,Ethernet4,172.31.0.15/31,spine,dc1-spine2,Ethernet4,172.31.0.14/31
l3leaf,dc1-leaf3,Ethernet5,172.31.0.17/31,spine,dc1-spine3,Ethernet4,172.31.0.16/31
l3leaf,dc1-leaf4,Ethernet3,172.31.0.19/31,spine,dc1-spine1,Ethernet5,172.31.0.18/31
l3leaf,dc1-leaf4,Ethernet4,172.31.0.21/31,spine,dc1-spine2,Ethernet5,172.31.0.20/31
l3leaf,dc1-leaf4,Ethernet5,172.31.0.23/31,spine,dc1-spine3,Ethernet5,172.31.0.22/31
