Node Type,Node,Node Interface,Peer Type,Peer,Peer Interface
l2leaf,dc1-l2leaf1,Ethernet3,l3leaf,dc1-leaf1,Ethernet7
l2leaf,dc1-l2leaf1,Ethernet4,l3leaf,dc1-leaf2,Ethernet7
l3leaf,dc1-leaf1,Ethernet1,mlag_peer,dc1-leaf2,Ethernet1
l3leaf,dc1-leaf1,Ethernet2,mlag_peer,dc1-leaf2,Ethernet2
l3leaf,dc1-leaf1,Ethernet3,spine,dc1-spine1,Ethernet2
l3leaf,dc1-leaf1,Ethernet4,spine,dc1-spine2,Ethernet2
l3leaf,dc1-leaf1,Ethernet7,l2leaf,dc1-l2leaf1,Ethernet3
l3leaf,dc1-leaf2,Ethernet1,mlag_peer,dc1-leaf1,Ethernet1
l3leaf,dc1-leaf2,Ethernet2,mlag_peer,dc1-leaf1,Ethernet2
l3leaf,dc1-leaf2,Ethernet3,spine,dc1-spine1,Ethernet3
l3leaf,dc1-leaf2,Ethernet4,spine,dc1-spine2,Ethernet3
l3leaf,dc1-leaf2,Ethernet7,l2leaf,dc1-l2leaf1,Ethernet4
spine,dc1-spine1,Ethernet2,l3leaf,dc1-leaf1,Ethernet3
spine,dc1-spine1,Ethernet3,l3leaf,dc1-leaf2,Ethernet3
spine,dc1-spine2,Ethernet2,l3leaf,dc1-leaf1,Ethernet4
spine,dc1-spine2,Ethernet3,l3leaf,dc1-leaf2,Ethernet4
